fighter1_wins,fighter2_wins,fighter1_losses,fighter2_losses,fighter1_height,fighter2_height,fighter1_weight,fighter2_weight,fighter1_reach,fighter2_reach,fighter1_age,fighter2_age,fighter1_SLpM,fighter2_SLpM,fighter1_sig_str_acc,fighter2_sig_str_acc,fighter1_SApM,fighter2_SApM,fighter1_str_def,fighter2_str_def,fighter1_td_avg,fighter2_td_avg,fighter1_td_acc,fighter2_td_acc,fighter1_td_def,fighter2_td_def,fighter1_sub_avg,fighter2_sub_avg,height_diff,weight_diff,reach_diff,win_rate_diff,td_avg_diff,SLpM_diff,sub_avg_diff,fighter1_won,fighter1_name,fighter2_name,fighter1_stance,fighter2_stance
18.0,12.0,11.0,1.0,190.5,177.8,119.75,70.31,200.66,187.96,44.0,26.0,2.18,0.87,0.47,0.4,3.84,1.52,0.38,0.48,2.02,11.41,0.4,0.7,0.54,0.0,2.0,1.6,12.699999999999989,49.44,12.699999999999989,-0.3023872679045093,-9.39,1.31,0.3999999999999999,1,Frank Mir,Myktybek Orolbai,Southpaw,Orthodox
22.0,7.0,11.0,6.0,175.26,187.96,77.11,92.99,,190.5,47.0,35.0,0.98,3.54,0.4,0.52,4.05,6.53,0.36,0.42,1.84,0.0,0.5,0.0,1.0,0.0,0.0,2.0,-12.700000000000017,-15.879999999999995,,0.1282051282051282,1.84,-2.56,-2.0,0,Alexandre Barros,Harry Hunsucker,Southpaw,Orthodox
16.0,19.0,9.0,4.0,180.34,172.72,77.11,61.23,190.5,177.8,35.0,29.0,2.02,4.64,0.51,0.5,2.39,3.76,0.4,0.58,3.03,0.44,0.46,0.41,0.4,0.69,4.8,0.1,7.6200000000000045,15.880000000000003,12.699999999999989,-0.18608695652173912,2.59,-2.6199999999999997,4.7,0,TJ Waldburger,Jonathan Martinez,Orthodox,Southpaw
13.0,0.0,4.0,1.0,175.26,182.88,70.31,102.06,,,42.0,54.0,1.8,0.0,0.27,0.0,3.37,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-7.6200000000000045,-31.75,,0.7647058823529411,0.0,1.8,0.5,1,Bernardo Magalhaes,Melton Bowen,Orthodox,Orthodox
12.0,28.0,6.0,15.0,162.56,170.18,56.7,65.77,172.72,175.26,37.0,38.0,4.11,3.09,0.47,0.49,4.96,3.18,0.56,0.46,1.76,1.71,0.4,0.25,0.78,0.48,0.6,1.7,-7.6200000000000045,-9.069999999999993,-2.539999999999992,0.015503875968992165,0.050000000000000044,1.0200000000000005,-1.1,0,Viviane Araujo,Daniel Pineda,Orthodox,Orthodox
16.0,6.0,5.0,3.0,182.88,175.26,90.26,61.23,,175.26,46.0,33.0,0.0,4.13,0.0,0.37,0.0,7.75,0.0,0.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.6200000000000045,29.03000000000001,,0.09523809523809523,0.0,-4.13,0.0,0,Joe Slick,Boston Salmon,Orthodox,Southpaw
12.0,45.0,4.0,9.0,193.04,175.26,92.99,77.11,195.58,185.42,34.0,50.0,4.75,2.14,0.5,0.53,3.77,1.36,0.48,0.53,0.36,2.95,0.28,0.5,0.8,0.35,0.4,1.2,17.78,15.879999999999995,10.160000000000025,-0.08333333333333337,-2.5900000000000003,2.61,-0.7999999999999999,0,Dominick Reyes,Matt Hughes,Southpaw,Switch
0.0,16.0,3.0,5.0,187.96,177.8,77.11,70.31,,182.88,,28.0,0.0,5.78,0.0,0.44,0.0,5.25,0.0,0.64,0.0,0.31,0.0,0.2,0.0,0.78,0.0,0.0,10.159999999999997,6.799999999999997,,-0.7619047619047619,-0.31,-5.78,0.0,0,Courtney Turner,Nasrat Haqparast,Unknown,Southpaw
8.0,19.0,3.0,4.0,160.02,172.72,52.16,70.31,147.32,180.34,24.0,28.0,3.0,4.91,0.4,0.57,3.19,2.66,0.48,0.76,2.22,1.11,0.58,0.28,0.71,0.81,0.4,0.0,-12.699999999999989,-18.150000000000006,-33.02000000000001,-0.09881422924901184,1.11,-1.9100000000000001,0.4,0,Cory McKenna,Ismael Bonfim,Orthodox,Orthodox
5.0,14.0,2.0,8.0,187.96,175.26,106.59,77.11,195.58,182.88,50.0,32.0,2.3,2.54,0.5,0.37,3.41,4.04,0.38,0.48,3.1,0.0,0.72,0.0,0.36,0.6,1.2,0.0,12.700000000000017,29.480000000000004,12.700000000000017,0.07792207792207795,3.1,-0.2400000000000002,1.2,0,Kevin Ferguson,Christian Aguilera,Orthodox,Switch
1.0,16.0,1.0,8.0,200.66,177.8,133.81,109.32,,,,49.0,0.0,1.42,0.0,0.46,0.0,4.2,0.0,0.54,0.0,2.66,0.0,0.34,0.0,0.25,0.0,1.8,22.859999999999985,24.49000000000001,,-0.16666666666666663,-2.66,-1.42,-1.8,0,Jon Hess,Assuerio Silva,Unknown,Orthodox
10.0,4.0,1.0,6.0,190.5,185.42,106.59,92.99,200.66,,34.0,55.0,2.87,0.0,0.52,0.0,1.7,0.0,0.6,0.0,4.75,0.0,0.5,0.0,1.0,0.0,0.2,0.0,5.0800000000000125,13.600000000000009,,0.509090909090909,4.75,2.87,0.2,1,Karl Williams,Satoshi Honma,Orthodox,Orthodox
22.0,28.0,8.0,16.0,175.26,177.8,65.77,70.31,185.42,180.34,41.0,39.0,3.44,2.84,0.33,0.39,2.53,5.39,0.63,0.54,1.64,2.39,0.41,0.45,0.71,0.54,0.2,2.0,-2.5400000000000205,-4.540000000000006,5.079999999999984,0.09696969696969693,-0.7500000000000002,0.6000000000000001,-1.8,1,Gilbert Melendez,Joe Lauzon,Orthodox,Orthodox
91.0,2.0,22.0,1.0,185.42,182.88,83.91,108.86,187.96,,48.0,,1.19,0.0,0.39,0.0,1.99,0.0,0.55,0.0,1.83,0.0,0.38,0.0,0.29,0.0,1.1,0.0,2.539999999999992,-24.950000000000003,,0.13864306784660774,1.83,1.19,1.1,1,Jeremy Horn,Steve Nelmark,Orthodox,Orthodox
13.0,16.0,4.0,3.0,198.12,177.8,83.91,70.31,195.58,182.88,35.0,26.0,4.43,4.64,0.36,0.46,3.87,5.05,0.59,0.55,0.63,0.93,0.42,0.2,0.63,0.85,0.4,0.0,20.319999999999993,13.599999999999994,12.700000000000017,-0.07739938080495357,-0.30000000000000004,-0.20999999999999996,0.4,1,Luke Barnatt,Elves Brener,Orthodox,Orthodox
21.0,5.0,14.0,1.0,177.8,162.56,77.11,56.7,177.8,,45.0,41.0,4.62,1.3,0.44,0.18,3.05,1.73,0.57,0.79,0.43,0.0,0.25,0.0,0.59,0.75,0.1,0.0,15.240000000000009,20.409999999999997,,-0.2333333333333334,0.43,3.3200000000000003,0.1,1,Duane Ludwig,Bentley Syler,Orthodox,Orthodox
9.0,12.0,3.0,5.0,187.96,177.8,114.76,70.31,187.96,182.88,41.0,37.0,1.44,3.68,0.42,0.34,3.81,5.64,0.55,0.5,0.0,1.23,0.0,0.8,0.75,0.83,0.0,0.3,10.159999999999997,44.45,5.0800000000000125,0.044117647058823484,-1.23,-2.24,-0.3,1,Dmitrii Smoliakov,Thibault Gouti,Switch,Orthodox
2.0,0.0,16.0,1.0,185.42,175.26,81.65,92.99,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.159999999999997,-11.33999999999999,,0.1111111111111111,0.0,0.0,0.0,0,Tulio Palhares,Roland Payne,Unknown,Orthodox
21.0,23.0,8.0,9.0,185.42,175.26,83.91,70.31,193.04,177.8,46.0,40.0,2.84,3.64,0.39,0.36,2.99,2.33,0.59,0.56,1.55,2.13,0.5,0.46,0.31,0.52,1.9,0.5,10.159999999999997,13.599999999999994,15.23999999999998,0.0053879310344827624,-0.5799999999999998,-0.8000000000000003,1.4,0,Ryan Jensen,Roger Huerta,Orthodox,Orthodox
16.0,10.0,4.0,3.0,180.34,177.8,92.99,77.11,,170.18,47.0,27.0,2.15,3.36,0.45,0.49,3.85,4.61,0.48,0.46,0.0,1.54,0.0,0.35,0.5,0.33,0.0,0.9,2.539999999999992,15.879999999999995,,0.03076923076923077,-1.54,-1.21,-0.9,1,Todd Brown,AJ Fletcher,Orthodox,Switch
9.0,8.0,3.0,2.0,154.94,175.26,52.16,65.77,154.94,177.8,28.0,28.0,4.1,3.0,0.57,1.0,2.48,42.0,0.53,0.33,1.9,0.0,0.5,0.0,0.72,0.0,0.1,0.0,-20.319999999999993,-13.61,-22.860000000000014,-0.050000000000000044,1.9,1.0999999999999996,0.1,0,Loma Lookboonmee,Brendon Marotte,Orthodox,Orthodox
34.0,16.0,23.0,7.0,190.5,160.02,108.86,52.16,195.58,162.56,45.0,38.0,3.78,5.92,0.45,0.43,3.2,5.55,0.57,0.59,0.38,0.36,0.36,0.26,0.76,0.74,0.2,0.2,30.47999999999999,56.7,33.02000000000001,-0.09916094584286805,0.020000000000000018,-2.14,0.0,1,Andrei Arlovski,Karolina Kowalkiewicz,Orthodox,Orthodox
14.0,5.0,9.0,3.0,182.88,182.88,83.91,77.11,187.96,,41.0,48.0,1.37,2.17,0.54,0.39,2.96,1.57,0.44,0.65,0.0,0.5,0.0,0.33,0.28,0.64,2.1,0.5,0.0,6.799999999999997,,-0.016304347826086918,-0.5,-0.7999999999999998,1.6,1,Tim McKenzie,Jeff Joslin,Orthodox,Orthodox
19.0,14.0,4.0,5.0,170.18,177.8,61.23,70.31,,182.88,37.0,,1.6,2.07,0.28,0.61,3.08,2.38,0.59,0.67,0.47,2.07,0.11,0.11,0.66,0.5,0.9,3.6,-7.6200000000000045,-9.080000000000005,,0.08924485125858128,-1.5999999999999999,-0.46999999999999975,-2.7,1,Jumabieke Tuerxun,Per Eklund,Orthodox,Orthodox
10.0,26.0,3.0,10.0,170.18,175.26,56.7,77.11,172.72,180.34,35.0,48.0,3.95,2.27,0.45,0.29,4.03,2.2,0.51,0.57,2.16,1.3,0.37,1.0,0.8,0.66,0.4,0.0,-5.079999999999984,-20.409999999999997,-7.6200000000000045,0.047008547008547064,0.8600000000000001,1.6800000000000002,0.4,1,Jasmine Jasudavicius,Forrest Petz,Orthodox,Orthodox
16.0,1.0,8.0,0.0,172.72,170.18,61.23,77.11,175.26,,43.0,,3.47,0.0,0.42,0.0,4.68,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.6,0.0,2.539999999999992,-15.880000000000003,,-0.33333333333333337,0.0,3.47,0.6,1,Henry Briones,Marcelo Mello,Orthodox,Southpaw
6.0,14.0,3.0,9.0,182.88,182.88,108.86,77.11,,,55.0,,0.0,0.79,0.0,0.33,0.0,3.14,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,,0.05797101449275355,0.0,-0.79,0.0,1,Hugo Duarte,Jason Gilliam,Orthodox,Orthodox
11.0,51.0,6.0,18.0,193.04,182.88,92.99,77.11,200.66,185.42,42.0,43.0,2.97,2.32,0.4,0.49,3.81,2.14,0.51,0.56,2.64,1.7,0.41,0.23,0.52,0.61,0.0,0.1,10.159999999999997,15.879999999999995,15.240000000000009,-0.09207161125319685,0.9400000000000002,0.6500000000000004,-0.1,1,Kyle Kingsbury,Brian Ebersole,Orthodox,Southpaw
24.0,21.0,6.0,4.0,172.72,172.72,70.31,70.31,,185.42,45.0,28.0,0.69,2.14,0.11,0.46,4.56,2.52,0.42,0.56,0.0,1.97,0.0,0.43,0.0,0.76,0.0,0.3,0.0,0.0,,-0.039999999999999925,-1.97,-1.4500000000000002,-0.3,0,Nick Agallar,Alex Da Silva,Orthodox,Orthodox
7.0,7.0,6.0,3.0,167.64,167.64,56.7,61.23,172.72,165.1,35.0,32.0,3.73,2.12,0.5,0.34,3.52,3.96,0.5,0.42,4.34,0.0,0.52,0.0,0.33,0.25,0.2,0.0,0.0,-4.529999999999994,7.6200000000000045,-0.16153846153846152,4.34,1.6099999999999999,0.2,1,Gina Mazany,Bruno Korea,Southpaw,Unknown
10.0,13.0,4.0,2.0,190.5,185.42,108.86,77.11,195.58,180.34,33.0,31.0,1.58,1.8,0.36,0.39,2.54,2.2,0.56,0.39,3.29,1.35,0.28,0.3,1.0,0.6,0.0,0.5,5.0800000000000125,31.75,15.240000000000009,-0.1523809523809524,1.94,-0.21999999999999997,-0.5,1,Viktor Pesta,Gadzhi Omargadzhiev,Orthodox,Switch
10.0,22.0,4.0,6.0,167.64,187.96,56.7,92.99,172.72,198.12,26.0,40.0,4.67,3.25,0.55,0.47,3.82,1.83,0.52,0.6,0.59,2.43,0.66,0.57,0.47,0.77,0.9,0.6,-20.32000000000002,-36.28999999999999,-25.400000000000006,-0.0714285714285714,-1.8400000000000003,1.42,0.30000000000000004,0,Mariya Agapova,Anthony Johnson,Southpaw,Orthodox
45.0,17.0,17.0,9.0,177.8,185.42,77.11,83.91,,185.42,49.0,41.0,1.84,4.01,0.44,0.44,1.99,4.41,0.42,0.5,0.46,0.15,0.5,0.07,0.57,0.43,2.5,0.0,-7.619999999999976,-6.799999999999997,,0.07196029776674939,0.31000000000000005,-2.17,2.5,1,Dave Menne,Tom Watson,Orthodox,Orthodox
14.0,12.0,7.0,6.0,157.48,175.26,52.16,83.91,157.48,,28.0,42.0,3.73,1.09,0.36,0.41,4.63,2.73,0.65,0.35,0.5,3.51,0.2,0.6,0.88,0.0,0.0,1.2,-17.78,-31.75,,0.0,-3.01,2.6399999999999997,-1.2,1,Rayanne Amanda,Gilbert Smith,Orthodox,Southpaw
16.0,13.0,5.0,4.0,182.88,172.72,83.91,65.77,,185.42,43.0,32.0,2.91,5.45,0.62,0.5,1.01,3.37,0.5,0.56,1.51,0.0,0.33,0.0,0.33,0.65,0.0,0.0,10.159999999999997,18.14,,-0.0028011204481792618,1.51,-2.54,0.0,0,Jesse Bongfeldt,Hakeem Dawodu,Orthodox,Orthodox
20.0,4.0,7.0,2.0,203.2,172.72,120.2,61.23,,,51.0,38.0,4.23,4.01,0.51,0.48,3.88,3.61,0.54,0.52,0.0,0.0,0.0,0.0,0.37,0.44,1.1,0.0,30.47999999999999,58.970000000000006,,0.07407407407407407,0.0,0.22000000000000064,1.1,0,Dan Christison,Kelly Faszholz,Orthodox,Orthodox
34.0,10.0,10.0,6.0,180.34,187.96,77.11,92.99,185.42,,39.0,44.0,2.23,0.5,0.36,0.62,3.2,6.95,0.58,0.27,1.65,0.0,0.48,0.0,0.63,0.0,0.3,0.0,-7.6200000000000045,-15.879999999999995,,0.1477272727272727,1.65,1.73,0.3,1,Keita Nakamura,Brad Morris,Southpaw,Orthodox
16.0,11.0,9.0,2.0,185.42,177.8,65.77,70.31,185.42,180.34,35.0,30.0,2.11,4.88,0.34,0.46,6.62,3.65,0.28,0.49,0.0,3.85,0.0,0.38,0.0,0.33,4.2,0.0,7.619999999999976,-4.540000000000006,5.079999999999984,-0.20615384615384613,-3.85,-2.77,4.2,0,Westin Wilson,Chris Duncan,Southpaw,Orthodox
13.0,6.0,4.0,2.0,172.72,185.42,65.77,113.4,185.42,,32.0,46.0,5.45,2.91,0.5,0.54,3.37,6.26,0.56,0.26,0.0,2.57,0.0,0.4,0.65,0.33,0.0,0.0,-12.699999999999989,-47.63000000000001,,0.014705882352941124,-2.57,2.54,0.0,1,Hakeem Dawodu,Gilbert Aldana,Orthodox,Orthodox
14.0,10.0,3.0,8.0,185.42,170.18,83.91,61.23,187.96,165.1,39.0,42.0,1.68,2.69,0.32,0.55,1.68,3.87,0.68,0.44,2.85,0.52,0.46,0.27,0.66,0.47,0.5,0.1,15.23999999999998,22.68,22.860000000000014,0.26797385620915026,2.33,-1.01,0.4,0,John Salter,Lina Lansberg,Southpaw,Orthodox
28.0,10.0,15.0,5.0,170.18,193.04,65.77,111.13,175.26,198.12,38.0,41.0,3.09,2.92,0.49,0.37,3.18,2.22,0.46,0.57,1.71,2.32,0.25,0.46,0.48,0.72,1.7,0.4,-22.859999999999985,-45.36,-22.860000000000014,-0.015503875968992165,-0.6099999999999999,0.16999999999999993,1.2999999999999998,1,Daniel Pineda,Brendan Schaub,Orthodox,Orthodox
8.0,9.0,2.0,1.0,175.26,175.26,70.31,61.23,185.42,172.72,34.0,28.0,4.69,3.8,0.43,0.38,3.53,1.67,0.55,0.82,0.94,0.0,0.33,0.0,0.77,0.5,0.0,0.0,0.0,9.080000000000005,12.699999999999989,-0.09999999999999998,0.94,0.8900000000000006,0.0,0,David Teymur,Daria Zhelezniakova,Southpaw,Unknown
6.0,36.0,3.0,17.0,190.5,185.42,83.91,70.31,,185.42,40.0,40.0,1.93,4.41,0.3,0.46,4.13,4.48,0.44,0.53,2.0,1.16,0.5,0.33,1.0,0.73,1.0,1.2,5.0800000000000125,13.599999999999994,,-0.012578616352201255,0.8400000000000001,-2.4800000000000004,-0.19999999999999996,1,James Hammortree,Donald Cerrone,Orthodox,Orthodox
7.0,20.0,1.0,6.0,175.26,172.72,70.31,70.31,172.72,172.72,28.0,33.0,3.08,3.17,0.42,0.39,5.35,3.07,0.59,0.63,0.92,2.13,0.5,0.39,0.5,1.0,0.0,0.0,2.539999999999992,0.0,0.0,0.10576923076923073,-1.21,-0.08999999999999986,0.0,0,Yanal Ashmouz,Zubaira Tukhugov,Orthodox,Orthodox
14.0,14.0,2.0,9.0,187.96,187.96,156.49,77.11,,193.04,59.0,33.0,0.0,1.23,0.0,0.4,0.0,3.28,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8,0.0,79.38000000000001,,0.2663043478260869,0.0,-1.23,-0.8,0,Andre Roberts,Craig White,Orthodox,Orthodox
10.0,9.0,3.0,4.0,180.34,193.04,61.23,92.99,182.88,203.2,32.0,35.0,3.53,3.35,0.44,0.39,2.53,4.82,0.46,0.49,2.38,0.23,0.37,0.5,0.62,0.42,0.5,0.2,-12.699999999999989,-31.759999999999998,-20.319999999999993,0.07692307692307698,2.15,0.17999999999999972,0.3,1,Macy Chiasson,Justin Ledet,Orthodox,Orthodox
10.0,6.0,4.0,4.0,167.64,177.8,56.7,83.91,175.26,,40.0,35.0,3.69,5.4,0.46,0.51,4.09,3.94,0.57,0.43,3.0,0.0,0.45,0.0,0.31,1.0,1.0,0.0,-10.160000000000025,-27.209999999999994,,0.11428571428571432,3.0,-1.7100000000000004,1.0,1,Richie Vaculik,Antonio Dos Santos,Orthodox,Orthodox
10.0,29.0,6.0,10.0,187.96,180.34,92.99,83.91,,,54.0,46.0,0.99,0.69,0.39,0.75,1.38,4.83,0.65,0.19,3.98,0.0,0.78,0.0,0.64,0.0,1.3,0.0,7.6200000000000045,9.079999999999998,,-0.11858974358974361,3.98,0.30000000000000004,1.3,1,Bobby Southworth,Delson Heleno,Orthodox,Orthodox
11.0,6.0,1.0,2.0,193.04,165.1,117.93,56.7,198.12,170.18,32.0,31.0,6.13,1.59,0.47,0.27,4.02,5.05,0.52,0.5,0.0,0.68,0.0,0.14,0.6,0.33,0.0,1.4,27.939999999999998,61.230000000000004,27.939999999999998,0.16666666666666663,-0.68,4.54,-1.4,1,Waldo Cortes-Acosta,Elias Garcia,Orthodox,Southpaw
9.0,7.0,2.0,0.0,165.1,160.02,61.23,52.16,167.64,152.4,29.0,28.0,2.96,3.73,0.55,0.52,1.18,1.33,0.57,0.64,4.89,2.67,0.5,0.72,0.75,1.0,0.0,0.0,5.079999999999984,9.07,15.23999999999998,-0.18181818181818177,2.2199999999999998,-0.77,0.0,0,Ailin Perez,Josefine Knutsson,Switch,Orthodox
15.0,15.0,11.0,2.0,162.56,175.26,52.16,83.91,,,41.0,36.0,1.68,1.18,0.48,0.46,2.32,2.27,0.57,0.56,4.19,3.0,0.63,0.37,0.5,0.66,0.6,0.3,-12.699999999999989,-31.75,,-0.3054298642533937,1.1900000000000004,0.5,0.3,0,Lisa Ellis,Bruno Santos,Unknown,Orthodox
4.0,18.0,2.0,4.0,187.96,172.72,92.99,65.77,,177.8,57.0,35.0,0.28,1.4,0.2,0.45,1.41,4.07,0.52,0.4,0.0,0.0,0.0,0.0,0.0,0.66,8.5,0.0,15.240000000000009,27.22,,-0.1515151515151516,0.0,-1.1199999999999999,8.5,0,Jeff Newton,Mark Striegl,Sideways,Southpaw
14.0,22.0,1.0,11.0,175.26,180.34,61.23,83.91,175.26,190.5,28.0,38.0,5.42,1.72,0.53,0.34,2.97,4.03,0.62,0.49,1.7,0.0,0.4,0.0,0.85,0.07,0.2,0.0,-5.0800000000000125,-22.68,-15.240000000000009,0.2666666666666667,1.7,3.7,0.2,1,Javid Basharat,John Phillips,Orthodox,Southpaw
12.0,24.0,2.0,13.0,193.04,187.96,111.13,83.91,205.74,190.5,33.0,37.0,5.49,3.57,0.6,0.44,2.19,2.96,0.63,0.56,0.58,0.27,0.21,0.19,0.5,0.57,0.5,0.5,5.079999999999984,27.22,15.240000000000009,0.2084942084942084,0.30999999999999994,1.9200000000000004,0.0,1,Ciryl Gane,Chris Camozzi,Orthodox,Orthodox
28.0,9.0,12.0,5.0,170.18,185.42,61.23,77.11,,200.66,36.0,34.0,0.87,0.48,0.23,0.23,2.8,2.53,0.51,0.39,1.5,4.07,0.11,0.52,0.0,0.28,0.5,0.0,-15.23999999999998,-15.880000000000003,,0.05714285714285705,-2.5700000000000003,0.39,0.5,1,Motonobu Tezuka,Dominic Waters,Southpaw,Orthodox
4.0,9.0,3.0,1.0,180.34,177.8,77.11,70.31,182.88,185.42,35.0,28.0,3.59,5.18,0.38,0.43,5.08,2.53,0.59,0.64,0.93,0.84,1.0,1.0,0.0,0.83,0.0,0.0,2.539999999999992,6.799999999999997,-2.539999999999992,-0.3285714285714286,0.09000000000000008,-1.5899999999999999,0.0,0,Hector Aldana,Bolaji Oki,Orthodox,Orthodox
16.0,8.0,5.0,1.0,170.18,190.5,56.7,77.11,170.18,,32.0,36.0,3.16,3.47,0.51,0.5,2.89,1.43,0.51,0.69,4.84,0.58,0.5,0.33,0.66,0.58,0.3,0.0,-20.319999999999993,-20.409999999999997,,-0.12698412698412698,4.26,-0.31000000000000005,0.3,0,Cody Durden,Jonathan Meunier,Southpaw,Switch
51.0,15.0,31.0,5.0,177.8,172.72,77.11,70.31,,172.72,51.0,37.0,1.62,6.18,0.36,0.57,2.32,4.96,0.47,0.52,0.75,0.21,0.66,0.5,0.75,0.65,0.0,0.0,5.0800000000000125,6.799999999999997,,-0.12804878048780488,0.54,-4.56,0.0,0,Shonie Carter,Chris Gruetzemacher,Southpaw,Orthodox
8.0,12.0,3.0,4.0,172.72,175.26,56.7,65.77,172.72,185.42,32.0,29.0,3.97,2.87,0.46,0.46,5.17,4.07,0.44,0.37,2.28,1.0,0.36,1.0,0.53,0.42,0.3,1.0,-2.539999999999992,-9.069999999999993,-12.699999999999989,-0.022727272727272707,1.2799999999999998,1.1,-0.7,0,Carlos Candelario,Mohammad Yahya,Southpaw,Switch
18.0,19.0,10.0,7.0,172.72,185.42,65.77,92.99,,190.5,40.0,44.0,2.71,2.77,0.4,0.52,2.36,3.07,0.64,0.59,1.0,2.22,0.37,0.24,0.69,0.83,0.3,0.0,-12.699999999999989,-27.22,,-0.08791208791208782,-1.2200000000000002,-0.06000000000000005,0.3,0,Ian Loveland,Francimar Barroso,Orthodox,Orthodox
