fighter1_wins,fighter1_losses,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_SLpM,fighter1_sig_str_acc,fighter1_SApM,fighter1_str_def,fighter1_td_avg,fighter1_td_acc,fighter1_td_def,fighter1_sub_avg,fighter2_wins,fighter2_losses,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_SLpM,fighter2_sig_str_acc,fighter2_SApM,fighter2_str_def,fighter2_td_avg,fighter2_td_acc,fighter2_td_def,fighter2_sub_avg,height_diff,weight_diff,reach_diff,win_rate_diff,td_avg_diff,SLpM_diff,sub_avg_diff,fighter1_won
14.0,8.0,175.26,77.11,182.88,Switch,32.0,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0,23.0,11.0,180.34,65.77,187.96,Orthodox,33.0,3.85,0.37,4.11,0.51,2.16,0.47,0.69,0.3,-5.0800000000000125,11.340000000000003,-5.0800000000000125,-0.04844720496894406,-2.16,-1.31,-0.3,0
8.0,5.0,175.26,77.11,,Southpaw,58.0,0.6,0.45,2.22,0.44,3.33,0.45,0.5,0.0,23.0,10.0,177.8,83.91,,Orthodox,51.0,4.75,0.53,4.66,0.57,0.35,0.5,0.37,1.1,-2.5400000000000205,-6.799999999999997,,-0.10504201680672276,2.98,-4.15,-1.1,0
9.0,5.0,175.26,61.23,180.34,Orthodox,40.0,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6,24.0,4.0,172.72,61.23,172.72,Orthodox,39.0,3.91,0.33,2.61,0.7,2.82,0.42,0.83,0.1,2.539999999999992,0.0,7.6200000000000045,-0.22758620689655173,-0.31000000000000005,-1.6300000000000003,1.5,1
17.0,6.0,177.8,70.31,,Orthodox,35.0,1.34,0.25,4.09,0.61,1.63,0.33,0.8,2.7,29.0,4.0,190.5,92.99,203.2,Orthodox,31.0,5.31,0.55,5.17,0.4,0.61,0.5,0.68,0.3,-12.699999999999989,-22.679999999999993,,-0.14460784313725483,1.02,-3.9699999999999998,2.4000000000000004,0
8.0,4.0,175.26,65.77,182.88,Orthodox,28.0,2.56,0.33,6.78,0.35,0.51,0.05,0.2,0.5,2.0,2.0,177.8,77.11,,Orthodox,45.0,0.0,0.0,1.25,0.33,0.0,0.0,0.0,0.0,-2.5400000000000205,-11.340000000000003,,0.2153846153846154,0.51,2.56,0.5,0
9.0,2.0,167.64,56.7,175.26,Southpaw,36.0,4.52,0.52,2.57,0.55,0.0,0.0,0.53,0.0,11.0,7.0,185.42,77.11,190.5,Switch,31.0,3.78,0.43,4.21,0.54,1.02,0.57,0.45,0.4,-17.78,-20.409999999999997,-15.240000000000009,0.17105263157894735,-1.02,0.7399999999999998,-0.4,1
21.0,4.0,187.96,117.03,193.04,Orthodox,48.0,1.35,0.31,3.17,0.47,1.19,0.18,0.0,0.6,15.0,7.0,190.5,104.33,198.12,Orthodox,46.0,3.03,0.56,2.81,0.52,0.7,0.53,0.59,0.2,-2.539999999999992,12.700000000000003,-5.0800000000000125,0.15551839464882944,0.49,-1.6799999999999997,0.39999999999999997,0
21.0,13.0,182.88,83.91,187.96,Orthodox,43.0,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8,6.0,2.0,172.72,61.23,172.72,Southpaw,33.0,3.45,0.45,3.09,0.49,1.31,0.6,0.33,0.0,10.159999999999997,22.68,15.240000000000009,-0.06666666666666665,0.1399999999999999,-0.52,0.8,0
12.0,7.0,185.42,77.11,193.04,Orthodox,37.0,2.24,0.4,3.51,0.46,0.55,0.5,0.25,4.1,0.0,1.0,170.18,99.79,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23999999999998,-22.680000000000007,,0.6,0.55,2.24,4.1,1
3.0,2.0,175.26,65.77,,Orthodox,36.0,2.47,0.51,5.33,0.44,1.0,0.1,0.33,0.0,10.0,1.0,190.5,106.59,200.66,Orthodox,34.0,2.87,0.52,1.7,0.6,4.75,0.5,1.0,0.2,-15.240000000000009,-40.82000000000001,,-0.33333333333333337,-3.75,-0.3999999999999999,-0.2,0
15.0,6.0,185.42,77.11,195.58,Orthodox,44.0,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,15.0,5.0,182.88,70.31,185.42,Orthodox,38.0,4.87,0.37,4.09,0.61,1.33,0.4,0.96,0.0,2.539999999999992,6.799999999999997,10.160000000000025,-0.032467532467532534,-0.27,-2.5100000000000002,0.6,0
27.0,1.0,193.04,112.49,213.36,Orthodox,36.0,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5,12.0,3.0,182.88,92.99,187.96,Southpaw,37.0,1.72,0.4,3.06,0.5,0.0,0.0,0.22,0.0,10.159999999999997,19.5,25.400000000000006,0.18103448275862066,1.93,2.5700000000000003,0.5,0
10.0,4.0,187.96,92.99,,Orthodox,43.0,1.07,0.25,2.25,0.57,1.12,0.38,0.29,1.3,9.0,7.0,175.26,70.31,,Orthodox,45.0,0.0,0.0,4.0,0.38,0.0,0.0,0.0,16.4,12.700000000000017,22.679999999999993,,0.13725490196078427,1.12,1.07,-15.099999999999998,1
11.0,2.0,182.88,111.13,190.5,Orthodox,29.0,4.88,0.45,5.6,0.5,0.0,0.0,0.72,0.0,10.0,7.0,154.94,52.16,157.48,Orthodox,31.0,4.99,0.44,5.39,0.52,0.26,1.0,0.64,0.3,27.939999999999998,58.97,33.02000000000001,0.23015873015873012,-0.26,-0.11000000000000032,-0.3,0
9.0,2.0,154.94,52.16,154.94,Orthodox,29.0,4.41,0.37,4.86,0.59,3.39,0.41,0.71,0.2,12.0,5.0,167.64,56.7,172.72,Orthodox,32.0,5.24,0.57,4.62,0.52,0.0,0.0,0.6,0.2,-12.699999999999989,-4.540000000000006,-17.78,0.08333333333333337,3.39,-0.8300000000000001,0.0,1
22.0,9.0,177.8,70.31,180.34,Orthodox,45.0,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3,18.0,8.0,172.72,65.77,180.34,Orthodox,38.0,3.76,0.44,2.97,0.53,0.59,0.66,0.65,0.0,5.0800000000000125,4.540000000000006,0.0,0.02083333333333337,1.33,-1.17,1.3,1
18.0,10.0,185.42,77.11,190.5,Orthodox,46.0,2.32,0.5,1.36,0.55,1.31,0.5,0.6,1.6,5.0,4.0,162.56,65.77,162.56,Southpaw,42.0,2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3,22.859999999999985,11.340000000000003,27.939999999999998,0.12068965517241381,0.21999999999999997,-0.3400000000000003,1.3,1
14.0,6.0,175.26,56.7,177.8,Switch,33.0,4.45,0.55,3.15,0.59,0.48,0.23,0.63,0.6,4.0,6.0,185.42,95.25,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.159999999999997,-38.55,,0.303030303030303,0.48,4.45,0.6,0
22.0,10.0,177.8,70.31,185.42,Orthodox,34.0,6.56,0.46,7.44,0.51,1.11,0.31,0.73,0.0,13.0,5.0,182.88,83.91,185.42,Southpaw,46.0,3.44,0.49,3.05,0.6,1.57,0.3,0.78,0.0,-5.079999999999984,-13.599999999999994,0.0,-0.01754385964912286,-0.45999999999999996,3.1199999999999997,0.0,1
3.0,2.0,182.88,106.59,,Orthodox,,0.17,0.1,1.99,0.57,4.97,0.4,1.0,2.5,14.0,1.0,187.96,92.99,193.04,Orthodox,33.0,5.35,0.48,3.46,0.51,0.0,0.0,0.5,0.0,-5.0800000000000125,13.600000000000009,,-0.375,4.97,-5.18,2.5,1
10.0,6.0,180.34,92.99,185.42,Orthodox,43.0,1.23,0.35,5.95,0.47,0.0,0.0,0.33,0.0,14.0,7.0,177.8,65.77,182.88,Orthodox,36.0,1.56,0.35,2.32,0.59,1.45,0.35,0.2,1.2,2.539999999999992,27.22,2.539999999999992,-0.048128342245989275,-1.45,-0.33000000000000007,-1.2,0
10.0,5.0,167.64,65.77,167.64,Orthodox,44.0,1.71,0.54,2.31,0.62,0.62,0.11,0.1,2.2,14.0,2.0,182.88,70.31,185.42,Orthodox,35.0,0.53,0.26,1.9,0.51,0.53,0.16,0.33,7.4,-15.240000000000009,-4.540000000000006,-17.78,-0.19852941176470584,0.08999999999999997,1.18,-5.2,1
8.0,3.0,167.64,56.7,167.64,Southpaw,30.0,1.63,0.47,2.7,0.47,0.0,0.0,0.61,0.0,13.0,5.0,172.72,70.31,175.26,Southpaw,35.0,3.61,0.41,4.51,0.54,0.45,0.6,0.64,0.7,-5.0800000000000125,-13.61,-7.6200000000000045,-0.01754385964912286,-0.45,-1.98,-0.7,0
18.0,6.0,175.26,70.31,180.34,Orthodox,36.0,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,7.0,2.0,182.88,77.11,195.58,Switch,32.0,2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0,-7.6200000000000045,-6.799999999999997,-15.240000000000009,0.020000000000000018,1.6799999999999997,1.6,0.4,1
5.0,5.0,187.96,92.99,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,187.96,92.99,187.96,Orthodox,28.0,3.68,0.54,3.04,0.44,4.84,0.57,0.6,2.0,0.0,0.0,,-0.251336898395722,-4.84,-3.68,-2.0,0
16.0,5.0,170.18,61.23,177.8,Orthodox,30.0,6.15,0.39,5.73,0.57,0.0,0.0,1.0,0.0,9.0,5.0,177.8,77.11,180.34,Switch,35.0,2.39,0.48,3.86,0.4,0.0,0.0,0.79,0.2,-7.6200000000000045,-15.880000000000003,-2.539999999999992,0.12727272727272732,0.0,3.7600000000000002,-0.2,1
0.0,1.0,170.18,99.79,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,172.72,70.31,,Orthodox,46.0,0.0,0.0,0.67,0.75,0.0,0.0,0.66,0.0,-2.539999999999992,29.480000000000004,,-0.5714285714285714,0.0,0.0,0.0,0
25.0,8.0,190.5,112.94,198.12,Orthodox,38.0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1,11.0,1.0,193.04,117.93,198.12,Orthodox,32.0,6.13,0.47,4.02,0.52,0.0,0.0,0.6,0.0,-2.539999999999992,-4.990000000000009,0.0,-0.11085972850678727,1.43,-2.53,0.1,0
18.0,10.0,170.18,70.31,170.18,Orthodox,42.0,3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1,5.0,0.0,175.26,77.11,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.079999999999984,-6.799999999999997,,-0.21264367816091956,1.36,3.36,0.1,0
16.0,7.0,185.42,83.91,187.96,Orthodox,34.0,6.19,0.47,5.67,0.52,0.22,0.25,0.67,0.1,5.0,2.0,165.1,52.16,,Orthodox,26.0,6.23,0.31,7.77,0.55,0.0,0.0,0.0,0.0,20.319999999999993,31.75,,0.04166666666666663,0.22,-0.040000000000000036,0.1,1
25.0,9.0,177.8,83.91,185.42,Orthodox,43.0,1.86,0.48,4.79,0.38,2.08,0.46,0.25,2.4,26.0,7.0,182.88,83.91,185.42,Orthodox,33.0,4.57,0.42,3.45,0.59,0.81,0.38,0.82,0.0,-5.079999999999984,0.0,0.0,-0.05042016806722682,1.27,-2.71,2.4,0
8.0,5.0,182.88,77.11,193.04,Orthodox,42.0,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0,18.0,7.0,182.88,65.77,185.42,Switch,34.0,6.11,0.52,4.41,0.47,0.89,0.46,0.56,0.1,0.0,11.340000000000003,7.6200000000000045,-0.1208791208791209,1.9899999999999998,-3.4200000000000004,-0.1,0
0.0,1.0,180.34,90.72,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,177.8,77.11,170.18,Switch,27.0,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9,2.539999999999992,13.61,,-0.7142857142857143,-1.54,-3.36,-0.9,0
11.0,8.0,165.1,61.23,165.1,Orthodox,36.0,3.48,0.3,6.13,0.59,0.0,0.0,0.71,0.0,10.0,3.0,170.18,56.7,172.72,Orthodox,35.0,3.95,0.45,4.03,0.51,2.16,0.37,0.8,0.4,-5.0800000000000125,4.529999999999994,-7.6200000000000045,-0.16428571428571426,-2.16,-0.4700000000000002,-0.4,1
7.0,6.0,187.96,92.99,190.5,Orthodox,35.0,3.54,0.52,6.53,0.42,0.0,0.0,0.0,2.0,6.0,1.0,190.5,70.31,185.42,Southpaw,24.0,10.27,0.56,9.45,0.47,0.0,0.0,0.0,0.0,-2.539999999999992,22.679999999999993,5.0800000000000125,-0.25,0.0,-6.7299999999999995,2.0,0
10.0,2.0,170.18,61.23,,Orthodox,29.0,1.21,0.19,4.14,0.55,0.0,0.0,0.0,0.0,19.0,7.0,180.34,77.11,185.42,Orthodox,29.0,3.3,0.45,2.56,0.6,1.59,0.4,0.62,0.6,-10.159999999999997,-15.880000000000003,,0.06552706552706555,-1.59,-2.09,-0.6,1
17.0,5.0,182.88,95.25,,Orthodox,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,177.8,77.11,187.96,Orthodox,36.0,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0,5.079999999999984,18.14,,0.15579710144927528,-2.95,-2.32,0.0,0
30.0,7.0,182.88,77.11,185.42,Orthodox,37.0,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0.0,15.0,6.0,175.26,65.77,177.8,Orthodox,44.0,3.03,0.29,3.62,0.64,0.0,0.0,1.0,0.0,7.6200000000000045,11.340000000000003,7.619999999999976,0.10765550239234456,0.48,1.8700000000000006,0.0,0
15.0,11.0,170.18,61.23,,Orthodox,43.0,2.49,0.3,6.36,0.51,0.67,0.18,0.44,1.3,13.0,3.0,175.26,61.23,180.34,Orthodox,30.0,5.08,0.37,3.7,0.55,1.0,0.25,0.45,0.2,-5.079999999999984,0.0,,-0.20915032679738554,-0.32999999999999996,-2.59,1.1,0
8.0,2.0,180.34,70.31,180.34,Orthodox,31.0,2.37,0.42,3.34,0.36,0.91,1.0,0.0,0.0,13.0,3.0,175.26,65.77,180.34,Orthodox,37.0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,5.0800000000000125,4.540000000000006,0.0,-0.03743315508021383,-1.3499999999999996,-0.5299999999999998,-0.3,0
8.0,5.0,182.88,77.11,193.04,Orthodox,42.0,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0,18.0,10.0,170.18,70.31,170.18,Orthodox,42.0,3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1,12.699999999999989,6.799999999999997,22.859999999999985,-0.049261083743842415,1.5199999999999998,-0.6699999999999999,-0.1,0
16.0,5.0,177.8,70.31,182.88,Southpaw,28.0,5.78,0.44,5.25,0.64,0.31,0.2,0.78,0.0,13.0,5.0,167.64,61.23,170.18,Southpaw,38.0,6.61,0.52,4.37,0.5,0.71,0.3,0.72,0.2,10.160000000000025,9.080000000000005,12.699999999999989,0.0430622009569378,-0.39999999999999997,-0.8300000000000001,-0.2,0
14.0,6.0,175.26,70.31,175.26,Orthodox,40.0,4.32,0.47,3.66,0.55,1.88,0.56,0.67,0.2,21.0,9.0,165.1,61.23,177.8,Orthodox,38.0,2.7,0.25,5.37,0.49,0.98,0.14,0.66,0.7,10.159999999999997,9.080000000000005,-2.5400000000000205,-0.010752688172043001,0.8999999999999999,1.62,-0.49999999999999994,1
12.0,5.0,167.64,65.77,170.18,Orthodox,33.0,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9,0.0,1.0,167.64,72.57,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.799999999999997,,0.6666666666666666,0.97,3.42,1.9,1
21.0,9.0,193.04,107.95,195.58,Orthodox,40.0,4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1,9.0,7.0,172.72,65.77,175.26,Orthodox,33.0,3.04,0.37,4.47,0.52,0.3,0.2,0.68,0.0,20.319999999999993,42.18000000000001,20.32000000000002,0.14800759013282727,0.0,1.4500000000000002,0.1,1
18.0,12.0,182.88,83.91,182.88,Southpaw,34.0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3,20.0,6.0,182.88,77.11,,Southpaw,38.0,3.17,0.46,2.27,0.53,0.0,0.0,0.77,0.0,0.0,6.799999999999997,,-0.16009557945041808,0.13,2.1799999999999997,0.3,0
9.0,2.0,180.34,83.91,,Orthodox,36.0,1.7,0.36,3.17,0.45,1.0,0.15,0.46,0.5,15.0,5.0,172.72,65.77,177.8,Orthodox,42.0,4.09,0.53,2.69,0.56,2.19,0.37,0.82,0.5,7.6200000000000045,18.14,,0.0357142857142857,-1.19,-2.3899999999999997,0.0,1
11.0,2.0,190.5,70.31,198.12,Orthodox,27.0,2.54,0.38,3.41,0.49,1.19,1.0,0.33,3.6,9.0,1.0,177.8,70.31,175.26,Southpaw,29.0,4.94,0.48,5.72,0.48,1.71,0.62,0.75,0.3,12.699999999999989,0.0,22.860000000000014,-0.032467532467532534,-0.52,-2.4000000000000004,3.3000000000000003,0
16.0,7.0,170.18,65.77,,Orthodox,45.0,3.13,0.3,5.77,0.42,0.0,0.0,0.62,1.0,13.0,10.0,190.5,104.33,198.12,Orthodox,35.0,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6,-20.319999999999993,-38.56,,0.125,-0.71,-2.67,0.4,0
24.0,8.0,172.72,65.77,167.64,Orthodox,42.0,2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8,22.0,13.0,187.96,77.11,195.58,Orthodox,40.0,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3,-15.240000000000009,-11.340000000000003,-27.940000000000026,0.11616161616161613,1.68,-0.5899999999999999,-0.5,1
9.0,4.0,190.5,83.91,190.5,Orthodox,42.0,3.92,0.55,1.86,0.49,0.44,0.5,0.58,0.0,7.0,3.0,175.26,77.11,,Orthodox,46.0,0.0,0.0,1.73,0.43,1.0,0.1,0.0,2.0,15.240000000000009,6.799999999999997,,0.006493506493506551,-0.56,3.92,-2.0,0
20.0,6.0,175.26,61.23,170.18,Orthodox,32.0,4.8,0.58,2.79,0.63,0.28,0.3,0.69,0.1,14.0,2.0,175.26,61.23,175.26,Switch,30.0,5.69,0.48,3.99,0.53,2.25,0.44,0.66,1.0,0.0,0.0,-5.079999999999984,-0.08278867102396514,-1.97,-0.8900000000000006,-0.9,0
12.0,4.0,182.88,92.99,,Orthodox,,1.65,0.28,5.53,0.55,0.0,0.0,0.0,0.0,9.0,2.0,177.8,65.77,177.8,Southpaw,39.0,2.38,0.5,1.33,0.65,0.22,0.09,0.0,2.2,5.079999999999984,27.22,,-0.044117647058823484,-0.22,-0.73,-2.2,0
16.0,5.0,182.88,90.26,,Orthodox,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,175.26,83.91,,Orthodox,36.0,1.18,0.46,2.27,0.56,3.0,0.37,0.66,0.3,7.6200000000000045,6.3500000000000085,,-0.10606060606060608,-3.0,-1.18,-0.3,0
10.0,2.0,172.72,65.77,177.8,Orthodox,40.0,2.79,0.4,3.89,0.59,0.89,0.33,0.5,0.0,8.0,1.0,170.18,70.31,,Orthodox,37.0,0.93,0.21,4.73,0.36,0.0,0.0,0.71,0.0,2.539999999999992,-4.540000000000006,,-0.03076923076923077,0.89,1.8599999999999999,0.0,1
11.0,5.0,160.02,52.16,165.1,Orthodox,39.0,4.26,0.32,4.04,0.61,0.0,0.0,0.3,0.0,14.0,4.0,177.8,70.31,185.42,Orthodox,41.0,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9,-17.78,-18.150000000000006,-20.319999999999993,-0.08978328173374606,-1.4,1.6199999999999997,-1.9,0
9.0,6.0,175.26,65.77,185.42,Orthodox,37.0,2.97,0.37,3.2,0.5,1.98,0.66,0.55,0.0,15.0,5.0,180.34,65.77,180.34,Switch,32.0,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,-5.0800000000000125,0.0,5.079999999999984,-0.1517857142857143,0.8300000000000001,-0.48999999999999977,-0.7,0
15.0,5.0,182.88,70.31,190.5,Southpaw,31.0,4.85,0.56,2.4,0.46,1.31,0.44,0.88,0.7,14.0,5.0,185.42,92.99,193.04,Southpaw,34.0,3.84,0.39,4.18,0.5,0.0,0.0,0.58,0.1,-2.539999999999992,-22.679999999999993,-2.539999999999992,0.014285714285714346,1.31,1.0099999999999998,0.6,0
19.0,8.0,190.5,92.99,193.04,Orthodox,35.0,5.53,0.47,4.07,0.57,0.36,0.25,0.6,0.0,2.0,1.0,190.5,120.2,,Southpaw,,0.0,0.0,6.38,0.28,0.0,0.0,0.5,0.0,0.0,-27.210000000000008,,0.1785714285714286,0.36,5.53,0.0,1
17.0,2.0,180.34,77.11,185.42,Switch,27.0,6.74,0.53,4.27,0.66,0.21,0.16,0.7,0.2,26.0,17.0,182.88,83.91,,Southpaw,54.0,1.26,0.41,2.03,0.51,1.26,0.31,0.48,1.7,-2.539999999999992,-6.799999999999997,,0.25909090909090904,-1.05,5.48,-1.5,1
9.0,3.0,175.26,83.91,177.8,Southpaw,51.0,4.36,0.48,2.98,0.66,1.37,0.71,0.88,0.3,0.0,1.0,190.5,102.97,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.240000000000009,-19.060000000000002,,0.6923076923076923,1.37,4.36,0.3,1
37.0,17.0,172.72,70.31,180.34,Southpaw,40.0,2.96,0.42,3.18,0.58,1.58,0.44,0.48,1.7,13.0,5.0,165.1,56.7,162.56,Orthodox,39.0,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0,7.6200000000000045,13.61,17.78,-0.011483253588516762,-0.5,-0.6299999999999999,1.7,0
11.0,5.0,160.02,52.16,165.1,Orthodox,39.0,4.26,0.32,4.04,0.61,0.0,0.0,0.3,0.0,26.0,9.0,175.26,70.31,,Orthodox,47.0,1.85,0.37,2.6,0.59,1.38,0.52,0.76,1.2,-15.23999999999998,-18.150000000000006,,-0.07516339869281041,-1.38,2.4099999999999997,-1.2,0
0.0,3.0,185.42,81.65,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,182.88,70.31,190.5,Southpaw,31.0,4.85,0.56,2.4,0.46,1.31,0.44,0.88,0.7,2.539999999999992,11.340000000000003,,-0.7142857142857143,-1.31,-4.85,-0.7,0
10.0,3.0,180.34,83.91,,0,35.0,2.03,0.19,2.83,0.64,3.0,0.54,1.0,1.5,9.0,6.0,165.1,56.7,162.56,Orthodox,34.0,3.27,0.39,4.7,0.46,1.6,0.27,0.71,0.0,15.240000000000009,27.209999999999994,,0.1517857142857143,1.4,-1.2400000000000002,1.5,0
3.0,2.0,157.48,52.16,160.02,Orthodox,33.0,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,8.0,4.0,162.56,56.7,170.18,Switch,35.0,2.04,0.3,3.7,0.47,0.0,0.0,0.11,0.0,-5.0800000000000125,-4.540000000000006,-10.159999999999997,-0.11538461538461542,2.27,2.79,0.4,0
8.0,5.0,175.26,77.11,,Southpaw,58.0,0.6,0.45,2.22,0.44,3.33,0.45,0.5,0.0,18.0,9.0,172.72,70.31,172.72,Orthodox,38.0,5.52,0.49,4.15,0.68,0.0,0.0,0.86,0.0,2.539999999999992,6.799999999999997,,-0.07142857142857151,3.33,-4.92,0.0,1
9.0,0.0,193.04,120.2,200.66,Orthodox,28.0,4.54,0.51,3.94,0.59,1.6,0.41,0.5,0.3,6.0,4.0,177.8,77.11,,0,36.0,1.31,0.3,4.32,0.43,0.75,0.5,0.5,1.5,15.23999999999998,43.09,,0.3545454545454546,0.8500000000000001,3.23,-1.2,1
